m,n,a,b,c
2,1,3,4,5
3,2,5,12,13
4,1,15,8,17
4,3,7,24,25
5,2,21,20,29
5,4,9,40,41
6,1,35,12,37
6,3,27,36,45
6,5,11,60,61
7,2,45,28,53
7,4,33,56,65
7,6,13,84,85
8,1,63,16,65
8,3,55,48,73
8,5,39,80,89
8,7,15,112,113
9,2,77,36,85
9,4,65,72,97
9,6,45,108,117
9,8,17,144,145
10,1,99,20,101
10,3,91,60,109
10,5,75,100,125
10,7,51,140,149
10,9,19,180,181
11,2,117,44,125
11,4,105,88,137
11,6,85,132,157
11,8,57,176,185
11,10,21,220,221
12,1,143,24,145
12,3,135,72,153
12,5,119,120,169
12,7,95,168,193
12,9,63,216,225
12,11,23,264,265
13,2,165,52,173
13,4,153,104,185
13,6,133,156,205
13,8,105,208,233
13,10,69,260,269
13,12,25,312,313
14,1,195,28,197
14,3,187,84,205
14,5,171,140,221
14,7,147,196,245
14,9,115,252,277
14,11,75,308,317
14,13,27,364,365
15,2,221,60,229
15,4,209,120,241
15,6,189,180,261
15,8,161,240,289
15,10,125,300,325
15,12,81,360,369
15,14,29,420,421
